---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
46.7%  986M  600M    0 | 704  19.8     0    86M|   4  2.16     1  4.51     0 |   0     0 |   0     0     0    85M  344   371     0     0 
23.0%  986M  600M    0 | 389  35.2     0    47M|   5  3.33     4  3.88     0 |   0     0 |   0     0     0    47M  189   810     0     0 
33.9%  986M  594M    0 | 595  37.5     0    72M|   8  2.89     6  3.49     0 |   0     0 |   0     0     0    78M  315   665     0     0 
23.4%  986M  598M    0 | 442  35.9     0    52M|   5  2.77     4  3.18     0 |   0     0 |   0     0     0    47M  192   623     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
24.1%  986M  593M    0 | 333  24.8     0    41M|   3  2.05     1  4.00     0 |   0     0 |   0     0     0    47M  189   697     0     0 
36.7%  986M  600M    0 | 678  34.2     0    83M|   3  2.03     1  4.18     0 |   0     0 |   0     0     0    75M  304   639     0     0 
23.8%  986M  596M    0 | 332  41.9     0    39M|   4  2.90     3  3.55     0 |   0     0 |   0     0     0    43M  176   658     0     0 
39.8%  986M  570M    0 | 558  32.4     0    68M|  13  2.81    13  3.12     0 |   0     0 |   0     0     0    94M  378   576     0     0 
27.6%  986M  600M    0 | 584  24.6     0    71M|   8  2.88     7  3.16     0 |   0     0 |   0     0     0    41M  166   658     0     0 
55.2%  987M  598M    0 | 332  49.2     0    39M|   5  2.47     3  3.35     0 |   0     0 |   0     0     0    42M  168   747     0     0 
45.4%  988M  579M    0 | 721  23.8     0    88M|   7  2.77     4  3.93     0 |   0     0 |   0     0     0   107M  430   451     0     0 
30.9%  988M  600M    0 | 550  19.1     0    67M|   3  2.98     2  3.93     0 |   0     0 |   0     0     0    46M  186   329     0     0 
33.1%  988M  588M    0 | 564  37.9     0    68M|   7  3.74     5  4.76     0 |   0     0 |   0     0     0    80M  321   737     0     0 
24.4%  988M  600M    0 | 471  28.3     0    57M|   4  2.58     3  3.11     0 |   0     0 |   0     0     0    46M  185   652     0     0 
37.8%  988M  596M    0 | 656  23.8     0    80M|   9  2.69     7  3.14     0 |   0     0 |   0     0     0    83M  337   434     0     0 
